,account_id,total_profit,win_per_id,win_positions,sharpe ratio,total_positions,MDD,ROI %
0,3672754654734989568,566.59765978,0.4430379746835443,210,0.0065761402929952785,474,-0.46078079475409683,6.0664556267159296e-05
1,3733192481840423936,2923.97719988,0.8026124818577649,553,1.3320297261801808,689,-0.7603550322920547,5.288870452238546e-06
2,3768170840939476993,243.66889897,0.42857142857142855,6,0.8345131454665702,14,0.0,0.04201746331665214
3,3784403294629753856,2521.81430468,0.3023140495867769,1829,0.05177984717159034,6050,-0.1772610694010493,0.0007161950640528401
4,3786761687746711808,205.02139999,0.45121951219512196,37,0.2540067230607314,82,-2.31821243121648,7.330495687572697e-06
5,3788465932399412480,13960.96645667,0.44607363962202673,1369,0.3026815919816028,3069,-0.2242625568921689,0.0015752949339303286
6,3818233536529843712,6419.60790714,0.3391977480647431,482,0.34439924146995904,1421,-0.9319387063687506,7.725751035043567e-05
7,3819545518395756033,980.0631999599999,0.38235294117647056,26,0.5777035994640218,68,-1.1599949648783466e-16,1.0669601629706229e-05
8,3826087012661391104,532.65697373,0.5833333333333334,63,0.25865996936050956,108,-0.050347733561678716,0.0028019605630007303
9,3858510226868015873,-280.97295038999994,0.24397590361445784,243,0.1083470223377983,996,-6.255267959451345,-1.039118794491097e-05
10,3865845304835489536,1406.06618669,0.5113378684807256,451,0.07918418230172124,882,-0.0011435870223209283,0.07919899466585002
11,3878631538480067329,3921.23304116,0.5033795802205621,1415,0.08612389967978215,2811,-0.29038579148515903,0.00013936609402903904
12,3879821005658659073,4268.00656095,0.33142201834862384,289,0.0718023973814849,872,-42.58664586138809,0.000152595456495829
13,3880920727367689984,-176.82699999000002,0.33793103448275863,49,0.4074221197177435,145,-8.08406995561114,-3.6832869004227756e-06
14,3886752488982104320,7195.17832464,0.745396317053643,931,0.3491938825031024,1249,-0.03057094725279152,3.610894846075512e-05
15,3887577207880438784,2417.51403674,0.4781818181818182,2893,0.024565854917169037,6050,-0.6817660809437055,0.0052859894130965895
16,3891020560590657281,2856.30056379,0.6475972540045767,283,0.6288143871667055,437,0.0,6.798005741097196
17,3907081197088384000,18015.99737026,0.6139714769156394,2540,0.11227731246598362,4137,-0.2429079623918087,0.03834842754837453
18,3910887259807777281,1803.30201001,0.22666666666666666,17,0.0725523013859618,75,-0.35731454229207144,2.12260618804658e-05
19,3910983669796782848,6761.64804825,0.428125,274,0.11287953661123691,640,-0.24108051153992885,0.00010367492679692752
20,3911997667197443328,605.72231024,0.46875,30,-0.444301691407664,64,-0.0,0.00010674956200691074
21,3914654298562589441,343.47044904999996,0.4140786749482402,200,0.09829598915509197,483,-1.3328479030481644,4.288493882798596e-06
22,3919174299855478272,1456.3718076199998,0.48066298342541436,609,-0.07683982286367366,1267,-1.0597447582798938,4.5945420311952965e-06
23,3923766029921022977,772.72903189,0.2851469420174742,359,0.25458072417104366,1259,-0.3546185908456343,6.845409569492223e-06
24,3925368433214965504,6789.43673863,0.3333333333333333,486,0.2375308969403142,1458,-0.04033723531142124,2.70650009427846e-05
25,3926423286576838657,1309.45995959,0.3410041841004184,163,0.5882501906474747,478,-0.5423807352680019,6.741570539611521e-06
26,3930688517098515713,1947.24457347,0.4861111111111111,140,-0.2276509433918672,288,-0.8991870812790262,6.426712961232311e-06
27,3931992636670880512,10374.96528998,0.40165289256198344,2430,0.1588869766047756,6050,-0.424280098072751,0.0006798063797304075
28,3932103299427844097,3860.30970535,0.3005021243723445,778,0.018948664251823576,2589,-7.609960868731804,7.186687179599851e-06
29,3935808725185052672,2301.96412286,0.3510204081632653,602,0.10529566200589927,1715,-1.156264352257373,1.0574493433702405e-05
30,3936410995029308417,10681.514,0.3,6,0.5800765795572788,20,0.0,2.8449394633615904e-05
31,3937714876784951296,1117.5308932100002,0.3933463796477495,201,0.19232571537088247,511,-inf,2.843489192022585e-06
32,3939318616482048768,9775.38910984,0.3746031746031746,118,0.5471514594225663,315,-0.01902892588221351,0.00030930480522096455
33,3939925275039085824,2378.8786707,0.3623481781376518,2148,0.09672498912097968,5928,-0.278923996470532,0.0022824883950451048
34,3941019213896463617,4234.08779003,0.49107142857142855,55,0.22502521341318124,112,-2.435061897343109,8.809656624511503e-06
35,3942630767220672256,6611.89848042,0.3829744415375327,1903,0.12607401082525738,4969,-0.9825575352122136,0.00010772277096689911
36,3943533600390906881,2361.42457205,0.5480386583285958,964,0.08401299863374134,1759,-0.01424652277699646,0.00019948932553774066
37,3944088772635000577,7581.4919834,0.4575292759360053,2774,0.18479202813003356,6063,-0.013092953369497683,0.00021771696656074443
38,3944239644144231424,-1187.89097568,0.26456876456876455,227,-0.16268432963721555,858,-inf,-3.864958612824156e-06
39,3944658614777849089,2074.44997996,0.4444444444444444,20,0.3897262568489637,45,0.0,7.029503738833924e-05
40,3946087913459823360,-40.66724167,0.3171733771569433,1930,-0.0006329726974883753,6085,-11.186052604330293,-0.0015858370394004756
41,3949214983441029120,1317.57755896,0.369757174392936,1675,0.0821819271638276,4530,-0.6536730665953876,1.6510011912467492e-05
42,3949329502284748801,425.96505788999997,0.1875,72,0.04641931093071826,384,-0.27617196105630987,2.7518289803095126e-05
43,3951723256343550465,5260.02286389,0.3524804177545692,1215,0.17146107977946815,3447,-inf,2.8872647528782083e-05
44,3952087967771302912,1032.6052598600002,0.3372093023255814,58,0.34480548419490586,172,0.0,1.4760146161734555e-05
45,3953433416230728705,4924.76177998,0.20872865275142316,110,-0.2009746910634715,527,-0.3340625368046595,7.163999258197271e-06
